gen	nevals	avg       	std        	min       	max       	ts                
0  	50    	0.0800352 	0.0414315  	0.0090174 	0.108462  	1713158526.5461922
1  	25    	0.040793  	0.0384807  	0.0090174 	0.108462  	1713159780.4076889
2  	25    	0.0199537 	0.0189189  	0.0090174 	0.108462  	1713162334.3176496
3  	25    	0.0114333 	0.00214328 	0.0090174 	0.0205058 	1713164322.8896122
4  	25    	0.00973701	0.00109592 	0.00898459	0.0119203 	1713167849.185798 
5  	25    	0.0090659 	0.000250579	0.00898459	0.0104042 	1713171219.1259437
6  	25    	0.008952  	0.000220259	0.00839849	0.00989626	1713173897.6983335
7  	25    	0.0088027 	0.000270192	0.00818725	0.0090174 	1713176742.5851495
8  	25    	0.00858472	0.000264938	0.00818725	0.0090174 	1713180241.3640027
