gen	nevals	avg       	std        	min       	max       	ts                
0  	50    	0.0674547 	0.0432602  	0.0089401 	0.108462  	1713847621.7117424
1  	25    	0.0189228 	0.0144884  	0.0089401 	0.108462  	1713850517.5334477
2  	25    	0.0120215 	0.002192   	0.0089401 	0.0233467 	1713852079.321588 
3  	25    	0.0103949 	0.000856949	0.0089401 	0.0119543 	1713853973.3063598
4  	25    	0.00977905	0.000776174	0.0089401 	0.0118234 	1713856270.9206765
5  	25    	0.00918339	0.000505977	0.0081405 	0.0103313 	1713859196.0103085
6  	25    	0.00889064	0.000214022	0.00788996	0.00911645	1713862182.7573383
7  	25    	0.0087451 	0.000393354	0.00788996	0.0089401 	1713866916.0357301
8  	25    	0.00849985	0.000510445	0.0077111 	0.0089401 	1713870567.5759368
